Questionnaire,Year Reported to CDP,Account Number,Organization,Country,CDP Region,Parent Section,Section,Question Number,Question Name,Column Number,Column Name,Response Answer,Comments,File Name,Last update,action
Cities 2020,2020,54078,City of Hayward,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,73671,Godoy Cruz,Argentina,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,60267,Prefeitura de Guarujá,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,54048,City of Knoxville,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme cold temperature > Extreme winter conditions,NA,NA,09/07/2020 09:45:36 AM, Extreme winter conditions
Cities 2020,2020,59958,Tweed Shire Council,Australia,Southeast Asia and Oceania,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,60273,Prefeitura de Extrema,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,36286,Comune di Ferrara,Italy,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,54274,Rotorua Lakes Council,New Zealand,Southeast Asia and Oceania,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards  > Air-borne disease,NA,NA,09/07/2020 09:45:36 AM, Air-borne disease
Cities 2020,2020,58621,Town of Blacksburg,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme cold temperature > Cold wave,NA,NA,09/07/2020 09:45:36 AM, Cold wave
Cities 2020,2020,44210,Yeosu Metropolitan Government,Republic of Korea,East Asia,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,31090,District of Columbia,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,69968,Alcaldia de Rionegro,Colombia,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > River flood,NA,NA,09/07/2020 09:45:36 AM, River flood
Cities 2020,2020,44077,Kampala City,Uganda,Africa,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,43930,The Hague,Netherlands,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,52894,City of Winston-Salem,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,58668,"City of New Bedford, MA",United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,35848,Municipality of Belo Horizonte,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards > Vector-borne disease,NA,NA,09/07/2020 09:45:36 AM, Vector-borne disease
Cities 2020,2020,31181,City of Philadelphia,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme cold temperature > Extreme winter conditions,NA,NA,09/07/2020 09:45:36 AM, Extreme winter conditions
Cities 2020,2020,63862,"City of Ashland, OR",United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,54085,City of Savannah,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Storm and wind > Cyclone (Hurricane / Typhoon),NA,NA,09/07/2020 09:45:36 AM, Cyclone (Hurricane / Typhoon)
Cities 2020,2020,50571,City of Victoria,Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Extreme hot days,NA,NA,09/07/2020 09:45:36 AM, Extreme hot days
Cities 2020,2020,833284,West Midlands Combined Authority,United Kingdom of Great Britain and Northern Ireland,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Extreme hot days,NA,NA,09/07/2020 09:45:36 AM, Extreme hot days
Cities 2020,2020,50559,"City of St Catharines, ON",Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,839665,Ayuntamiento de Celaya,Mexico,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,NA,NA,NA,09/07/2020 09:45:36 AM,NA
Cities 2020,2020,60125,Klaipeda City Municipality,Lithuania,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Chemical change > Atmospheric CO2 concentrations,NA,NA,09/07/2020 09:45:36 AM, Atmospheric CO2 concentrations
Cities 2020,2020,60318,Prefeitura de Porto Velho,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,848474,Richmond Council,United Kingdom of Great Britain and Northern Ireland,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,43912,City of Edmonton,Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,NA,NA,NA,09/07/2020 09:45:36 AM,NA
Cities 2020,2020,54633,Prefeitura de Lorena,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > River flood,NA,NA,09/07/2020 09:45:36 AM, River flood
Cities 2020,2020,36426,Riga City,Latvia,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > River flood,NA,NA,09/07/2020 09:45:36 AM, River flood
Cities 2020,2020,54389,Taichung City Government,"Taiwan, Greater China",East Asia,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Storm and wind > Cyclone (Hurricane / Typhoon),NA,NA,09/07/2020 09:45:36 AM, Cyclone (Hurricane / Typhoon)
Cities 2020,2020,55334,Município de Braga,Portugal,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,37261,City of Pietermaritzburg,South Africa,Africa,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Storm and wind > Lightning / thunderstorm,NA,NA,09/07/2020 09:45:36 AM, Lightning / thunderstorm
Cities 2020,2020,46470,Ayuntamiento de Vitoria-Gasteiz,Spain,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,54048,City of Knoxville,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards > Vector-borne disease,NA,NA,09/07/2020 09:45:36 AM, Vector-borne disease
Cities 2020,2020,74594,City of Boynton Beach,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,840269,"Town of Whitby, ON",Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,54491,Municipality of Málaga,Spain,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards  > Air-borne disease,NA,NA,09/07/2020 09:45:36 AM, Air-borne disease
Cities 2020,2020,50555,City of Hamilton,Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,55419,City of Miramar,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,31111,Tokyo Metropolitan Government,Japan,East Asia,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,60546,Nanjing Municipal People's Government,China,East Asia,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Storm and wind > Cyclone (Hurricane / Typhoon),NA,NA,09/07/2020 09:45:36 AM, Cyclone (Hurricane / Typhoon)
Cities 2020,2020,35870,City of Miami,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Extreme hot days,NA,NA,09/07/2020 09:45:36 AM, Extreme hot days
Cities 2020,2020,54265,City of Newcastle,Australia,Southeast Asia and Oceania,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,826429,Município de Figueira da Foz,Portugal,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,36158,Comune di Napoli,Italy,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,74671,Kadıköy,Turkey,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,50674,Município de Viseu,Portugal,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,58621,Town of Blacksburg,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme cold temperature > Extreme cold days,NA,NA,09/07/2020 09:45:36 AM, Extreme cold days
Cities 2020,2020,43905,City of San Antonio,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Storm and wind > Tropical storm,NA,NA,09/07/2020 09:45:36 AM, Tropical storm
Cities 2020,2020,10894,City of Los Angeles,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,63601,"Township of Maplewood, NJ",United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,NA,NA,NA,09/07/2020 09:45:36 AM,NA
Cities 2020,2020,60264,Prefeitura de Botucatu,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Wild fire > Land fire,NA,NA,09/07/2020 09:45:36 AM, Land fire
Cities 2020,2020,31110,Roma Capitale,Italy,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,60656,"City of Piedmont, CA",United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Water Scarcity > Drought,NA,NA,09/07/2020 09:45:36 AM, Drought
Cities 2020,2020,35897,Municipality of Campinas,Brazil,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,839980,Municipalidad de Avellaneda,Argentina,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,59151,City of Akureyri,Iceland,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Coastal flood,NA,NA,09/07/2020 09:45:36 AM, Coastal flood
Cities 2020,2020,60168,Derry City & Strabane,United Kingdom of Great Britain and Northern Ireland,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > River flood,NA,NA,09/07/2020 09:45:36 AM, River flood
Cities 2020,2020,35867,Region Metropolitana de Guadalajara,Mexico,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,54386,Tainan City Government,"Taiwan, Greater China",East Asia,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards > Vector-borne disease,NA,NA,09/07/2020 09:45:36 AM, Vector-borne disease
Cities 2020,2020,50566,City of Anchorage,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Wild fire > Forest fire,NA,NA,09/07/2020 09:45:36 AM, Forest fire
Cities 2020,2020,31117,City of Toronto,Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme cold temperature > Extreme winter conditions,NA,NA,09/07/2020 09:45:36 AM, Extreme winter conditions
Cities 2020,2020,60409,Municipalidad Provincial de Callao,Peru,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,36032,Ville de Dakar,Senegal,Africa,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,43910,City of Columbus,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,43970,Alcaldía Distrital de Barranquilla,Colombia,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Storm and wind > Severe wind,NA,NA,09/07/2020 09:45:36 AM, Severe wind
Cities 2020,2020,834083,"City of Eau Claire, WI",United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Heavy snow,NA,NA,09/07/2020 09:45:36 AM, Heavy snow
Cities 2020,2020,8242,City of Helsinki,Finland,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards > Insect infestation,NA,NA,09/07/2020 09:45:36 AM, Insect infestation
Cities 2020,2020,43937,Wellington City Council,New Zealand,Southeast Asia and Oceania,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,50378,Municipalidad de San José,Costa Rica,Latin America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Flood and sea level rise > Flash / surface flood,NA,NA,09/07/2020 09:45:36 AM, Flash / surface flood
Cities 2020,2020,1499,Ajuntament de Barcelona,Spain,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards  > Air-borne disease,NA,NA,09/07/2020 09:45:36 AM, Air-borne disease
Cities 2020,2020,826429,Município de Figueira da Foz,Portugal,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme hot temperature > Heat wave,NA,NA,09/07/2020 09:45:36 AM, Heat wave
Cities 2020,2020,59669,City of North Vancouver,Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Mass movement > Landslide,NA,NA,09/07/2020 09:45:36 AM, Landslide
Cities 2020,2020,50555,City of Hamilton,Canada,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards > Water-borne disease,NA,NA,09/07/2020 09:45:36 AM, Water-borne disease
Cities 2020,2020,31090,District of Columbia,United States of America,North America,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Extreme Precipitation > Rain storm,NA,NA,09/07/2020 09:45:36 AM, Rain storm
Cities 2020,2020,49367,Freetown City,Sierra Leone,Africa,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Biological hazards > Water-borne disease,NA,NA,09/07/2020 09:45:36 AM, Water-borne disease
Cities 2020,2020,36501,Comune di Prato,Italy,Europe,Adaptation,Adaptation Actions,3.0,"Please describe the main actions you are taking to reduce the risk to, and vulnerability of, your city’s infrastructure, services, citizens, and businesses from climate change as identified in the Climate Hazards section.",1,Climate hazards,Storm and wind > Severe wind,NA,NA,09/07/2020 09:45:36 AM, Severe wind
